ts,day,flags,ret,sigma,prev_close,open,high,low,close,volume,vwap,bar_count,is_filled
2019-03-19 12:46,2019-03-19,sigma_return,-0.00206111,0.000238356,179.7,179.7,179.72,179.28,179.33,777910,179.462,2452,False
2019-06-03 09:47,2019-06-03,sigma_return,-0.0031837,0.000394014,173.03,173,173,172.48,172.48,495826,172.691,1700,False
2019-06-03 13:25,2019-06-03,sigma_return,0.0049654,0.000560415,170.76,170.76,171.63,170.76,171.61,985498,171.272,4071,False
2019-06-17 12:31,2019-06-17,sigma_return,-0.00261026,0.000236332,184.13,183.63,183.65,183.62,183.65,7656,183.63,13,False
2019-06-18 09:39,2019-06-18,sigma_return,0.00365729,0.000272246,185.59,185.59,186.31,185.54,186.27,678025,186.005,2753,False
2019-06-19 14:01,2019-06-19,sigma_return,0.00359105,0.000247279,186.24,186.24,186.99,186.18,186.91,927122,186.708,3393,False
2019-07-30 10:01,2019-07-30,sigma_return,0.00196058,0.000235328,193.63,193.63,194.01,193.63,194.01,177532,193.817,611,False
2019-07-31 14:38,2019-07-31,sigma_return,-0.00269193,0.000316546,193.43,193.42,193.42,192.77,192.91,461738,193.064,2101,False
2019-07-31 14:53,2019-07-31,sigma_return,-0.00358046,0.000442723,190.26,190.27,190.3,189.32,189.58,669822,189.721,3272,False
2019-07-31 14:54,2019-07-31,sigma_return,0.00636225,0.00047735,189.58,189.58,190.82,189.53,190.79,775212,190.291,3700,False
2019-08-13 09:46,2019-08-13,sigma_return,0.00481542,0.00055072,186.45,186.44,187.5,186.43,187.35,542842,186.999,2760,False
2019-08-13 09:48,2019-08-13,sigma_return,0.00670144,0.000600988,187.39,187.4,188.69,187.31,188.65,506044,187.992,2474,False
2019-08-23 11:00,2019-08-23,sigma_return,-0.00507602,0.000465514,187.63,187.64,187.86,186.59,186.68,527824,187.2,3197,False
2019-08-29 10:37,2019-08-29,sigma_return,-0.00390093,0.000366774,187.5,187.5,187.5,186.74,186.77,695238,186.98,3864,False
2019-09-03 10:00,2019-09-03,sigma_return,-0.00401919,0.000402156,186.98,186.96,186.96,186.21,186.23,316185,186.478,1704,False
2019-09-12 10:10,2019-09-12,sigma_return,0.00448397,0.000272858,193.59,193.6,194.58,193.46,194.46,642465,194.039,3378,False
2019-09-12 10:50,2019-09-12,sigma_return,-0.00386768,0.000386704,194.29,194.3,194.33,193.45,193.54,486803,193.805,2438,False
2019-09-18 14:01,2019-09-18,sigma_return,-0.00396867,0.000182525,191.88,191.91,191.99,191.06,191.12,211016,191.545,1061,False
2019-09-20 13:13,2019-09-20,sigma_return,-0.00495968,0.00027442,192.02,192.01,192.01,190.96,191.07,732409,191.456,4028,False
2019-09-24 12:23,2019-09-24,sigma_return,-0.00302363,0.000333021,188.8,188.8,188.82,187.96,188.23,804182,188.374,3812,False
2019-09-24 14:12,2019-09-24,sigma_return,0.00506114,0.000457562,187.23,187.23,188.24,187.23,188.18,477401,187.877,3103,False
2019-09-27 11:36,2019-09-27,sigma_return,-0.0034941,0.000361207,189.22,189.21,189.22,188.5,188.56,592457,188.718,3386,False
2019-10-03 10:00,2019-10-03,sigma_return,-0.0080672,0.000466276,184.2,184.19,184.19,182.49,182.72,702723,183.06,3484,False
2019-10-08 14:57,2019-10-08,sigma_return,-0.00668863,0.000458437,187.51,187.53,187.55,186.06,186.26,894278,186.571,5089,False
2019-10-10 14:07,2019-10-10,sigma_return,-0.00313288,0.000340315,188.62,188.61,188.61,188.02,188.03,371085,188.267,2529,False
2019-10-11 15:44,2019-10-11,sigma_return,-0.00322682,0.000366909,192.45,192.46,192.47,191.83,191.83,403906,192.116,2436,False
2019-10-29 11:59,2019-10-29,sigma_return,-0.00203656,0.000216002,196.61,196.61,196.62,196.04,196.21,452656,196.278,2409,False
2019-10-30 14:01,2019-10-30,sigma_return,0.00214538,0.000233363,195.56,195.58,196.01,195.54,195.98,150851,195.748,857,False
2019-11-06 11:44,2019-11-06,sigma_return,-0.00220673,0.000189582,199.61,199.61,199.87,199.15,199.17,848616,199.57,4317,False
2019-11-07 11:59,2019-11-07,sigma_return,0.00218471,0.000182251,201.18,201.19,201.72,201.19,201.62,588294,201.462,3127,False
2019-11-07 14:43,2019-11-07,sigma_return,-0.00238949,0.00021369,201.12,201.11,201.13,200.64,200.64,433001,200.884,2077,False
2019-11-13 13:57,2019-11-13,sigma_return,-0.00218492,0.000224732,201.6,201.61,201.61,200.97,201.16,911018,201.208,4824,False
2019-11-19 11:38,2019-11-19,sigma_return,0.00152405,0.000189638,203.25,203.25,203.58,203.22,203.56,226469,203.41,1175,False
2019-11-20 12:56,2019-11-20,sigma_return,-0.00222426,0.000216181,202.54,202.53,202.54,202.06,202.09,604163,202.243,3318,False
2019-11-20 12:58,2019-11-20,sigma_return,-0.00213214,0.000248652,201.89,201.89,201.93,201.25,201.46,516401,201.608,2611,False
2019-12-02 10:00,2019-12-02,sigma_return,-0.00201747,0.000214319,203.43,203.42,203.42,202.98,203.02,336104,203.23,1904,False
2019-12-05 14:57,2019-12-05,sigma_return,-0.00202404,0.000220352,202.77,202.76,202.78,202.14,202.36,665085,202.433,3341,False
2019-12-10 09:38,2019-12-10,sigma_return,-0.00152144,0.00015846,203.91,203.9,203.9,203.44,203.6,208423,203.628,1001,False
2019-12-10 11:02,2019-12-10,sigma_return,-0.00219936,0.00020708,204.83,204.82,204.82,204.31,204.38,326929,204.529,2180,False
2019-12-12 09:35,2019-12-12,sigma_return,0.00214739,0.000192759,204.68,204.68,205.25,204.49,205.12,383303,204.863,2203,False
2019-12-12 09:38,2019-12-12,sigma_return,0.00247844,0.000233893,205.52,205.53,206.07,205.5,206.03,313004,205.835,1764,False
